experiment_type,parameter,z,published_tuples,suppressed_tuples,publication_ratio,ncp,bandwidth_savings,publication_ratio_relative_to_gw
Baseline,None,1,1854193,0,100.0,0.0,0.0,
Baseline,None,2,1550231,303962,83.60677664083512,0.0,0.0,
Baseline,None,3,1361087,493106,73.4058967971511,0.0,0.0,
Baseline,None,4,1215804,638389,65.57052043665358,0.0,0.0,
Baseline,None,5,1094462,759731,59.0263257384749,0.0,0.0,
Baseline,None,6,988771,865422,53.32621792877009,0.0,0.0,
Baseline,None,7,894460,959733,48.23985421150873,0.0,0.0,
Baseline,None,8,809419,1044774,43.653438450042685,0.0,0.0,
Baseline,None,9,732194,1121999,39.48855378053956,0.0,0.0,
Baseline,None,10,661941,1192252,35.69968174834011,0.0,0.0,
Baseline,None,11,598184,1256009,32.2611508079256,0.0,0.0,
Baseline,None,12,540420,1313773,29.145833254682763,0.0,0.0,
Baseline,None,13,488147,1366046,26.326655315816637,0.0,0.0,
Baseline,None,14,440994,1413199,23.78360828673175,0.0,0.0,
Baseline,None,15,398407,1455786,21.48681394008067,0.0,0.0,
Baseline,None,16,359956,1494237,19.41308159398725,0.0,0.0,
Baseline,None,17,325348,1528845,17.546609225684705,0.0,0.0,
Baseline,None,18,294094,1560099,15.861024176016198,0.0,0.0,
Baseline,None,19,265823,1588370,14.336317740386248,0.0,0.0,
Baseline,None,20,240193,1614000,12.954045236930567,0.0,0.0,
Baseline,None,21,216943,1637250,11.70013046106851,0.0,0.0,
Baseline,None,22,195874,1658319,10.563840980955057,0.0,0.0,
Baseline,None,23,176746,1677447,9.532233160194219,0.0,0.0,
Baseline,None,24,159426,1694767,8.59813406694988,0.0,0.0,
Baseline,None,25,143725,1710468,7.751350587560195,0.0,0.0,
Baseline,None,26,129533,1724660,6.98595022201033,0.0,0.0,
Baseline,None,27,116701,1737492,6.293897129371107,0.0,0.0,
Baseline,None,28,105100,1749093,5.668234105079676,0.0,0.0,
Baseline,None,29,94672,1759521,5.105833103673674,0.0,0.0,
Baseline,None,30,85203,1768990,4.595152716033336,0.0,0.0,
Baseline,None,31,76625,1777568,4.132525578513132,0.0,0.0,
Baseline,None,32,68847,1785346,3.713043895646246,0.0,0.0,
Baseline,None,33,61832,1792361,3.334712190154962,0.0,0.0,
Baseline,None,34,55438,1798755,2.9898721438383165,0.0,0.0,
Baseline,None,35,49602,1804591,2.6751260521423603,0.0,0.0,
Baseline,None,36,44318,1809875,2.390150324157194,0.0,0.0,
Baseline,None,37,39518,1814675,2.131277596237285,0.0,0.0,
Baseline,None,38,35137,1819056,1.8950023001920513,0.0,0.0,
Baseline,None,39,31166,1823027,1.680839049656643,0.0,0.0,
Baseline,None,40,27597,1826596,1.4883563900845274,0.0,0.0,
Baseline,None,41,24394,1829799,1.3156127760163048,0.0,0.0,
Baseline,None,42,21478,1832715,1.1583475938049599,0.0,0.0,
Baseline,None,43,18876,1835317,1.0180170025450426,0.0,0.0,
Baseline,None,44,16541,1837652,0.8920862067756701,0.0,0.0,
Baseline,None,45,14479,1839714,0.7808787974067424,0.0,0.0,
Baseline,None,46,12666,1841527,0.6831004107986601,0.0,0.0,
Baseline,None,47,11051,1843142,0.596000524217274,0.0,0.0,
Baseline,None,48,9665,1844528,0.5212510240304002,0.0,0.0,
Baseline,None,49,8456,1845737,0.4560474556855732,0.0,0.0,
Baseline,None,50,7405,1846788,0.3993651146347765,0.0,0.0,
Generalization,Precision 0,1,1854193,0,100.0,10.8,0.0,
Generalization,Precision 0,2,1852306,1887,99.89823065883648,10.8,0.0,
Generalization,Precision 0,3,1850782,3411,99.8160385677219,10.8,0.0,
Generalization,Precision 0,4,1849384,4809,99.74064188571525,10.8,0.0,
Generalization,Precision 0,5,1848050,6143,99.66869684008083,10.8,0.0,
Generalization,Precision 0,6,1846759,7434,99.59907086263404,10.8,0.0,
Generalization,Precision 0,7,1845514,8679,99.53192574882982,10.8,0.0,
Generalization,Precision 0,8,1844308,9885,99.46688397593994,10.8,0.0,
Generalization,Precision 0,9,1843130,11063,99.40335229396293,10.8,0.0,
Generalization,Precision 0,10,1841981,12212,99.3413846347171,10.8,0.0,
Generalization,Precision 0,11,1840855,13338,99.28065740729255,10.8,0.0,
Generalization,Precision 0,12,1839748,14445,99.22095488441602,10.8,0.0,
Generalization,Precision 0,13,1838659,15534,99.16222313426918,10.8,0.0,
Generalization,Precision 0,14,1837582,16611,99.10413856594216,10.8,0.0,
Generalization,Precision 0,15,1836516,17677,99.04664724761662,10.8,0.0,
Generalization,Precision 0,16,1835459,18734,98.98964131565592,10.8,0.0,
Generalization,Precision 0,17,1834405,19788,98.93279717915019,10.8,0.0,
Generalization,Precision 0,18,1833364,20829,98.87665415628254,10.8,0.0,
Generalization,Precision 0,19,1832335,21858,98.82115831523471,10.8,0.0,
Generalization,Precision 0,20,1831316,22877,98.76620179237004,10.8,0.0,
Generalization,Precision 0,21,1830308,23885,98.71183851950687,10.8,0.0,
Generalization,Precision 0,22,1829306,24887,98.65779883755359,10.8,0.0,
Generalization,Precision 0,23,1828310,25883,98.6040827465102,10.8,0.0,
Generalization,Precision 0,24,1827325,26868,98.5509599054683,10.8,0.0,
Generalization,Precision 0,25,1826345,27848,98.49810672351799,10.8,0.0,
Generalization,Precision 0,26,1825369,28824,98.44546926884095,10.8,0.0,
Generalization,Precision 0,27,1824396,29797,98.39299360961886,10.8,0.0,
Generalization,Precision 0,28,1823428,30765,98.34078760948833,10.8,0.0,
Generalization,Precision 0,29,1822465,31728,98.28885126844939,10.8,0.0,
Generalization,Precision 0,30,1821508,32685,98.23723851832037,10.8,0.0,
Generalization,Precision 0,31,1820558,33635,98.18600329091956,10.8,0.0,
Generalization,Precision 0,32,1819612,34581,98.134983790792,10.8,0.0,
Generalization,Precision 0,33,1818674,35519,98.084395745211,10.8,0.0,
Generalization,Precision 0,34,1817738,36455,98.0339155632666,10.8,0.0,
Generalization,Precision 0,35,1816807,37386,97.98370504041381,10.8,0.0,
Generalization,Precision 0,36,1815877,38316,97.93354844937933,10.8,0.0,
Generalization,Precision 0,37,1814951,39242,97.88360758561811,10.8,0.0,
Generalization,Precision 0,38,1814028,40165,97.83382851731184,10.8,0.0,
Generalization,Precision 0,39,1813109,41084,97.78426517627884,10.8,0.0,
Generalization,Precision 0,40,1812195,41998,97.73497149433743,10.8,0.0,
Generalization,Precision 0,41,1811287,42906,97.68600140330591,10.8,0.0,
Generalization,Precision 0,42,1810384,43809,97.63730097136599,10.8,0.0,
Generalization,Precision 0,43,1809489,44704,97.58903199397257,10.8,0.0,
Generalization,Precision 0,44,1808598,45595,97.54097874385245,10.8,0.0,
Generalization,Precision 0,45,1807712,46481,97.4931951528239,10.8,0.0,
Generalization,Precision 0,46,1806830,47363,97.44562728906861,10.8,0.0,
Generalization,Precision 0,47,1805952,48241,97.3982751525866,10.8,0.0,
Generalization,Precision 0,48,1805076,49117,97.35103087974122,10.8,0.0,
Generalization,Precision 0,49,1804210,49983,97.304325925079,10.8,0.0,
Generalization,Precision 0,50,1803348,50845,97.25783669769005,10.8,0.0,
Generalization,Precision 1,1,1854193,0,100.0,1.08,0.0,
Generalization,Precision 1,2,1843277,10916,99.41128027125548,1.08,0.0,
Generalization,Precision 1,3,1834493,19700,98.93754317916203,1.08,0.0,
Generalization,Precision 1,4,1826649,27544,98.51450199628626,1.08,0.0,
Generalization,Precision 1,5,1819436,34757,98.12549179076827,1.08,0.0,
Generalization,Precision 1,6,1812684,41509,97.76134415349426,1.08,0.0,
Generalization,Precision 1,7,1806254,47939,97.41456256171823,1.08,0.0,
Generalization,Precision 1,8,1800157,54036,97.08574026544163,1.08,0.0,
Generalization,Precision 1,9,1794306,59887,96.77018519647092,1.08,0.0,
Generalization,Precision 1,10,1788657,65536,96.46552435480017,1.08,0.0,
Generalization,Precision 1,11,1783199,70994,96.17116449042791,1.08,0.0,
Generalization,Precision 1,12,1777913,76280,95.88608089880611,1.08,0.0,
Generalization,Precision 1,13,1772771,81422,95.60876348902191,1.08,0.0,
Generalization,Precision 1,14,1767744,86449,95.33764823834412,1.08,0.0,
Generalization,Precision 1,15,1762829,91364,95.0725733513178,1.08,0.0,
Generalization,Precision 1,16,1758022,96171,94.81332310066966,1.08,0.0,
Generalization,Precision 1,17,1753315,100878,94.55946603185322,1.08,0.0,
Generalization,Precision 1,18,1748709,105484,94.31105607668673,1.08,0.0,
Generalization,Precision 1,19,1744182,110011,94.06690673516727,1.08,0.0,
